pathway,n_genes,corr,abs_corr,sign
REACTOME_BH3_ONLY_PROTEINS_ASSOCIATE_WITH_AND_INACTIVATE_ANTI_APOPTOTIC_BCL_2_MEMBERS,4,,,0
REACTOME_BICARBONATE_TRANSPORTERS,3,,,0
REACTOME_BILE_ACID_AND_BILE_SALT_METABOLISM,6,,,0
REACTOME_BINDING_AND_UPTAKE_OF_LIGANDS_BY_SCAVENGER_RECEPTORS,11,0.9699190258979797,0.9699190258979797,1
REACTOME_BINDING_OF_TCF_LEF_CTNNB1_TO_TARGET_GENE_PROMOTERS,3,,,0
REACTOME_BIOLOGICAL_OXIDATIONS,27,0.8549548387527466,0.8549548387527466,1
REACTOME_BIOSYNTHESIS_OF_EPA_DERIVED_SPMS,1,,,0
REACTOME_BIOSYNTHESIS_OF_MARESINS,1,,,0
REACTOME_BIOSYNTHESIS_OF_MARESIN_LIKE_SPMS,0,,,0
REACTOME_BIOSYNTHESIS_OF_SPECIALIZED_PRORESOLVING_MEDIATORS_SPMS,4,,,0
REACTOME_BIOSYNTHESIS_OF_THE_N_GLYCAN_PRECURSOR_DOLICHOL_LIPID_LINKED_OLIGOSACCHARIDE_LLO_AND_TRANSFER_TO_A_NASCENT_PROTEIN,22,0.868811309337616,0.868811309337616,1
REACTOME_BIOTIN_TRANSPORT_AND_METABOLISM,2,,,0
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS,6,,,0
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_GENE_EXPRESSION,7,,,0
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,6,,,0
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION,4,,,0
REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA,4,,,0
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,4,,,0
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,7,,,0
REACTOME_CA2_ACTIVATED_K_CHANNELS,1,,,0
REACTOME_CA2_PATHWAY,23,0.8710410594940186,0.8710410594940186,1
REACTOME_CALCINEURIN_ACTIVATES_NFAT,3,,,0
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS,2,,,0
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,4,,,0
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB,1,,,0
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN,9,,,0
REACTOME_CARDIAC_CONDUCTION,15,0.9571031928062439,0.9571031928062439,1
REACTOME_CARGO_CONCENTRATION_IN_THE_ER,5,,,0
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,17,0.8704193830490112,0.8704193830490112,1
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE,11,0.8519399762153625,0.8519399762153625,1
REACTOME_CARNITINE_METABOLISM,3,,,0
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,7,,,0
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND,3,,,0
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,10,0.9238182306289673,0.9238182306289673,1
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,4,,,0
REACTOME_CATION_COUPLED_CHLORIDE_COTRANSPORTERS,2,,,0
REACTOME_CA_DEPENDENT_EVENTS,5,,,0
REACTOME_CD163_MEDIATING_AN_ANTI_INFLAMMATORY_RESPONSE,2,,,0
REACTOME_CD209_DC_SIGN_SIGNALING,5,,,0
REACTOME_CD22_MEDIATED_BCR_REGULATION,2,,,0
